Date,Location / Operator,Aircraft Type / Registration,Fatalities
23-Nov-31,"Salt Lake City, Utah
Boeing Air Transport","Boeing 40
NC7465",1/1(0)
24-Nov-31,"Near Tsinan, China
China National Aviation Corporation","Stinson
?",3/3(0)
26-Nov-31,"Pasco, Washington
Varney Air Lines","Boeing 40
NC10338",1/1(0)
5-Dec-31,"Kewanee, Illinois
Braniff Airways","Lockheed Vega 5
NC433E",2/6(0)
6-Dec-31,"Bangkok, Thailand
KLM Royal Dutch Airlines","Fokker F-VIIb-3M
PH-AFO",5/7(0)
9-Dec-31,"Off Algiers
Aeropostale","CAMS 56
F-AIOX",2/2(0)
31-Dec-31,"Springfield, Ohio
American Airways","Fairchild Pilgrim 100A
?",4/5(0)
21-Jan-32,"Colvin Park, Ilinois
Northwest Airways","Stinson SM-2A
NC443H",1/1(0)
29-Jan-32,"Lebec, California
Century Pacific Lines","Stinson SM-6000B
NC10813",8/8(0)
1-Feb-32,"Off Miami, Florida
Bimini Airways","Fairchild
?",5/5(0)
2-Feb-32,"Rio Vista, California
Boeing Air Transport","Boeing 40
NC291",1/2(0)
2-Feb-32,"Marcellus, Michigan
Transamerican Airlines","Stearman C-3MB
NC6411",1/1(0)
27-Feb-32,"Off Setiba, Brazil
Aeropostale","Latecoere 28
F-AJOX",3/3(0)
8-Mar-32,"Saint Louis, Illinois
Century Air Lines","Stinson SM-6000B
NC11122",3/5(0)
19-Mar-32,"Calimesa, California
American Airways","Fokker F-10A
NC652E",7/7(0)
21-Mar-32,"Steubenville, Ohio
Trans Continental and Western Air","Northrop Alpha 3
NC966Y",1/1(0)
29-Mar-32,"Rutbah Wells, Iraq
Air Orient","Farman F-190
F-AJDP F-AJDP",3/3(0)
31-Mar-32,"Bedford, Ohio
National Air Transport","Boeing 95
NC191E",1/1(0)
21-Apr-32,"Fort Wayne, Indiana
Transamerica Airlines","Stearman C-3MB
NC6412",1/1(0)
16-May-32,"Burbank, California
Pacific Air Transport","Boeing 40
NC5589",3/3(0)
30-May-32,"Portland, Oregon
Varney Air Lines","Boeing 40
NC830M",1/2(0)
16-Jul-32,"Mount El Plomo, near Vitacura, Chile
Panagra","Ford 5-AT-C Tri Motor
NC403H",9/9(0)
12-Aug-32,"Beyrouth, Lebanon
Air Orient","CAMS 53
F-AIQY",0/7(0)
31-Aug-32,"Tubergen, Germany
A B Aerotransport","Junkers G-23
SE-AAE",2/2(0)
8-Sep-32,"Salt Flats, Texas
American Airways","Fokker F-10
NC9716",3/4(0)
17-Sep-32,"Selsdon Park, England
Air Union","Liore-et-Olivier 213
F-AIFE",1/2(0)
18-Sep-32,"Byron Bay, Australia
New England Airways","De Havilland DH-80
VH-UPM",3/3(0)
12-Oct-32,"Port Etienne, Mauritania
Aeropostale","Latecoere 28
F-AJIP",1/1(0)
26-Oct-32,"Villa Monte, Bolivia
Lloyd Aero Boliviano","Ford Tri-motor 5
?",2/2(0)
29-Oct-32,"Ramsgate, England
Deutsche Lufthansa","Junkers W-33
D-2017",2/2(0)
2-Nov-32,"Echterpfuhl, Germany
Deutsche Lufthansa","Junkers F-13
D-724",5/5(0)
25-Nov-32,"Marianna, Arkansas
Hunter Airways","Travel Air 6000
NC369M",2/2(0)
14-Dec-32,"Amarillo, Texas
Trans Continental and Western Air","Ford 5
NC9650",2/2(0)
14-Dec-32,"Rocky Ridge, Colorado
Boeing Air Transport","Boeing 40
NC281",1/1(0)
26-Dec-32,"Wau, Australia
Guinea Airways","De Havilland DH-60
VH-UMJ",1/1(0)
10-Jan-33,"Algiers
Aeropostale","CAMS 53
F-AISV",1/3(0)
14-Jan-33,"Newark, New Jersey
Eastern Air Transport","Curtiss Condor 18
NC185H",2/2(0)
20-Jan-33,"Marietta, Georgia
American Airways","Stearman 4
N490W",1/1(0)
20-Jan-33,"Bourne, Texas
American Airways","Stearman 4
NC11721",1/1(0)
24-Jan-33,"Eugene, Oregon
Pacific Air Transport","Ford 5-AT-D
NC431H",2/3(0)
11-Mar-33,"Near Mendoza, Argentina
Pan American Grace Airways","Fairchild FC-2W
NC9723",2/2(0)
25-Mar-33,"Hayward, California
Varney Airlines","Lockheed Orion 9
NC12226",3/3(11)
28-Mar-33,"Near Dixmude, Belgium
Imperial Airways","Armstrong Whitworth Argosy II
G-AACI",15/15(0)
3-Apr-33,"Hemkenrode, Germany
Deutsche Lufthansa","Junkers F-13
D-534",1/2(0)
4-Apr-33,"Off Barnegat, New Jersey
Military - U.S. Navy","Goodyear-Zeppelin U.S.S. Akron (airship)
ZRS-4",73/76(0)
23-Apr-33,"Near Castrovillari, Calabria, Italy
Air Orient","Cams 53-1
F-ALCE",5/8(0)
29-Apr-33,"Traunstein, Germany
Eurasia","Junkers W-34
D-4",4/4(0)
9-May-33,"Near Viladrau, Spain
Aeropostale - La Tecoere Company","Latecoere 28-1
F-AJIX",6/6(0)
4-Jun-33,"Bowling Green, Virginia
Eastern Air Transport","Pitcairns PA-6
?",1/1(0)
11-Jun-33,"Glenview, Illinois
Palwaukee","Sikorsky S-38B (flying boat)
NC-141M",9/9(0)
18-Jul-33,"Aegean Sea
Societa Anonima Aero Expresso Italiana","CMASA Wal (flying boat)
I-AZEE",6/6(0)
29-Aug-33,"Quay, New Mexico
Trans Continental and Western Air","Ford 5-AT-B Tri Motor
NC9607",5/5(0)
12-Sep-33,"Near Ljubljana, Yugoslavia
Aeroput","Farman F-306
YU-SAH",8/8(0)
10-Oct-33,"Chesterton, Indiana
United Air Lines","Boeing 247
NC13304",10/10(0)
31-Oct-33,"Etobon, France
Air France","Farman F-301
F-AJMI",2/5(0)
9-Nov-33,"Portland, Oregon
United Air Lines","Boeing 247
NC13345",4/10(?)
10-Nov-33,"Moriarty, New Mexico
Trans Continental and Western Air","Northrop Delta
NC12292",0/1(0)
20-Nov-33,"Near Tsinan, China
China National Aviation Corporation","Stinson
?",8/8(?)
21-Nov-33,"Near Kharkov, Ukraine, USSR
Kalinin","Kalinin K-7
?",14/20(0)
24-Nov-33,"Wedron, Illinois
National Air Transport","Boeing 247
NC13324",2/2(0)
11-Dec-33,"Hamburg, Germany
Deutsche Lufthansa","Focke-Wulf A-17
D-1403",6/10(0)
14-Dec-33,"Eshowe, South Africa
Union Airways","Junkers W-34
ZS-AEB",5/6(0)
30-Dec-33,"Near Ruysselede, Belgium
Imperial Airways","Avro 10
G-ABLU",10/10(0)
15-Jan-34,"Corbigny, France
Air France","Dewoitine D-332
F-AMMY",14/14(0)
20-Jan-34,"Carombe, France
Air France","Breguet 280T
F-AJKX",2/2(0)
23-Feb-34,"Near Salt Lake City, Utah
Boeing Aircraft Company","Boeing 247
NC13357",8/8(0)
26-Feb-34,"Rio de Oro, Morocco
Air France","Latécoère 28
F-AJPA",1/6(0)
6-Mar-34,"Petersburg, Illinois
American Airways","Fairchild Pilgrim 100A
NC710Y",4/4(0)
10-Mar-34,"Pereira, Colombia
Pan American Airways (Scadta)","Sikorsky S-38 Flying Boat
NC-9107",5/6(0)
22-Mar-34,"Near Lima, Peru
Pan American Grace Airlines","Ford 5-AT-C Tri-Motor
NC407H",3/15(0)
10-Apr-34,"Ningpo Bay, China
China National Aviation Corporation","Sikorsky S-38BB
NV17V",3/3(0)
9-May-34,"English Channel
Air France","Wibault 282T
F-AMHP",6/6(0)
31-May-34,"Croydon, England
Air France","Liore-et-Olivier 213
F-AIVG",2/2(0)
9-Jun-34,"Mongaup Mountain, New York
American Airways","Curtiss Condor T-32
NC12354",7/7(0)
11-Jun-34,"Junin, Argentina
Panagra","Ford 5-AT-C Tri-Motor
NC8417",6/10(0)
22-Jun-34,"Chausseehausen, Germany
Deutsche Lufthansa","Dornier Merkur
D-1445",1/7(0)
23-Jun-34,"Burbank, California
Aerevias Centrales Air Service","Lockheed Orion
XA-BEJ",1/1(0)
9-Jul-34,"San Bernardino, California
United Air Services","Lockheed Vega
NC32E",3/4(0)
27-Jul-34,"Near Tuttlingen, Germany
Swissair","Curtiss AT-32C Condor
CH-170",12/12(0)
5-Aug-34,"Bahia, Brazil
Air France","Latecoere 26
F-AILK",2/2(0)
10-Aug-34,"Ningbo, China
China National Aviation Corporation","Sikorsky S-38B
?",?/?(?)
31-Aug-34,"Amazonia, Missouri
Rapid Air Transport","Stinson SM-6000B
NC11118",5/5(0)
2-Oct-34,"English Channel
Hillman's Airways","de havilland 89 Dragon Rapide
G-ACPM",7/7(0)
3-Oct-34,"Near Winton, Australia
Qantas","de Havilland DH-50A
VH-UHE",3/3(0)
19-Oct-34,"Bass Strait, Australia
Holymans Airways","de Havilland DH-86
VH-URN",11/11(0)
2-Nov-34,"Kiapit, Australia
Holdens Air Transport Service","De Havilland DH-61
VH-UHW",2/4(0)
15-Nov-34,"Amazonia, Montana
Rapid Air Transport","Stinson SM-6000-B
NC10809",2/2(0)
15-Nov-34,"Near Longreach, Australia
Qantas","de Havilland DH-86
VH-USG",4/4(0)
7-Dec-34,"Salchau, Germany
Deutsche Lufthansa","Junkers F-13
D-OMAS",3/3(0)
8-Dec-34,"Columbia, Missouri
Braniff Airlines","Lockheed Vega 5C
NC106W",1/1(0)
10-Dec-34,"Palma Soriano, Cuba
Cubana de Aviacion","Ford 4-AT-E Tri-motor
NM-7",4/8(0)
20-Dec-34,"Rutbah Wells, Syria
KLM Royal Dutch Airlines","Douglas DC-2-115A
PH-AJU",7/7(0)
22-Dec-34,"Sunbright, Tennessee
American Airlines","Lockheed Orion 9D
NC12286",1/1(0)
31-Dec-34,"?
Aeroflot","Tupolev ANT-9
?",10/10(0)
8-Jan-35,"Near Karachi, Pakistan
Indian Air Force","Wapiti
?",0/2(15)
26-Jan-35,"Pittsburgh, Pennsylvania
Trans Continental and Western Air","Consolidated Fleetster
NC13212",1/1(0)
31-Jan-35,"Stettin, Germany
Deruluft","Junkers JU-52/3m
D-AREN",11/11(0)
12-Feb-35,"Off Point Sur, Californiia
Military - US Navy","Goodyear-Zeppelin U.S.S. Macon (airship)
ZRS-4",2/83(0)
7-Mar-35,"Schievelbein, Germany
Deruluft","Rochrbach Roland
D-AJYP",0/3(0)
15-Mar-35,"El Arish, Egypt
Misrair","de Havilland Dragon 1
SU-ABI",3/6(0)
29-Mar-35,"Off Samland, Germany
Deutsche Lufthansa","Junkers F-13
D-OHIL",5/5(0)
1-Apr-35,"Beauvais, France
Air France","Farman F-300
F-ALHQ",1/3(0)
6-Apr-35,"Brilon, Germany
KLM Royal Dutch Airlines","Fokker F-12
PH-AFL",7/7(0)
1-May-35,"Near Walsenberg, Colorado
Varney Air Lines","Lockheed Vega
NC891E",1/1(0)
6-May-35,"Atlanta, Missouri
Trans Continental and Western Air","Douglas DC-2-112
NC13785",5/14(0)
18-May-35,"Near Moscow, Russia
Gor'ky Eskadril'ya","Tupolev ANT-20 / I-5
CCCP-I20",50/50(2)
18-May-35,"Flint, Michigan
Knowles Flying Service of Detroit","Ford model 4-AT-E
WC-7864",3/12(0)
27-May-35,"Glendo, Wyoming
Wyoming Air Service","Boeing 221
NC725W",1/1(0)
28-May-35,"Maywood, Illinois
Chicago and Southern Airlines","Stinson SM6000B Tri-motor
NC10894",2/2(0)
29-May-35,"San Barbra, Honduras
?","?
?",6/9(0)
24-Jun-35,"Medellin, Colombia
Servicio Aereo Columbiano / SCADTA","Ford Tri-Motor / Ford Tri-Motor
C-31 / F-31",17/20(0)
14-Jul-35,"Amsterdam, Netherlands
KLM Royal Dutch Airlines","Fokker F-XXII
PH-AJQ",6/20(0)
19-Jul-35,"Off Chandeleur Island, Mississippi
Wedell-Williams Air Service Corporation","General 102-E
NC-492K",2/2(0)
20-Jul-35,"Pian Giacomo, Switzerland
KLM Royal Dutch Airlines","Douglas DC-2
PH-AKG",13/13(0)
23-Jul-35,"Cardiff, United Kingdom
Jersey Airways","de Havilland DH-84 Dragon
G-ACMP",1/8(0)
28-Jul-35,"El Retiro, Colombia
Fuerza Aerea Colombiana","Junkers W-34
406",5/5(0)
7-Aug-35,"Cairo, Egypt
Ala Littoria","Savoia-Marchetti S-66
I-REDI",7/7(0)
13-Aug-35,"Hangow, China
China National Aviation Corporation","Sikorsky S-38B
NV40V",?/?(?)
14-Aug-35,"Near Gilmer, Texas
Delta Air Lines","Stinson Model A
NC14599",4/4(0)
15-Aug-35,"Walakpa, near Point Barrow, Alaska
Private","Lockheed Orion 9E Explorer float plane
NR12283",2/2(0)
15-Aug-35,"Near Glendo, Wyoming
Aero Mayflower Transit Co","Waco, model YLC
NC14140",3/3(0)
1-Sep-35,"Burbank, California
Western Air Express","Boeing 247
NC13314",3/3(0)
13-Sep-35,"Near Tambo, Panama
Panama Airways","Ford Tri-Motor
?",8/8(0)
2-Oct-35,"Off Finders Island, Victoria, Australia
Holyman Airways","de Havilland DH-86
VH-URT",5/5(0)
7-Oct-35,"Near Cheyenne, Wyoming
United Air Lines","Boeing 247D
NC13317",12/12(0)
9-Oct-35,"Gulf of Finland
Aero O-Y","Junkers F-13
OH-ALI",6/6(0)
21-Oct-35,"Troy, New York
Chamberlin Flying Service","Curtiss AT-32C Condor
NC725K",1/6(0)
30-Oct-35,"Cheyenne, Wyoming
United Air Lines","Boeing B-247-D
NC13323",4/4(0)
2-Nov-35,"Off Nhambupe, Brazil
Air France","Latécoère 28-1
F-AJIQ",4/4(0)
9-Nov-35,"Near Fort Worth, Texas
Braniff Airlines","Lockheed Vega
NC980Y",1/1(0)
9-Nov-35,"Brindisi, Italy
Imperial Airways","Short S-17 Kent
G-ABFB",12/13(0)
11-Nov-35,"Istres, France
Air France","Latecoere 28
F-AJPB",3/3(0)
4-Dec-35,"Tours, France
Air Bleu","Caudron C-630 Simoun
F-ANRK",1/2(0)
10-Dec-35,"Croydon, England
Sabena","Savoia-Marchetti SM73
OO-AGN",11/11(0)
24-Dec-35,"Wroctaw, Poland
Deutsche Lufthansa","Heinkel He-70
D-UVOR",3/3(0)
31-Dec-35,"Off Alexandria, Egypt
Imperial Airways","Short S-8 Calcutta flying boat
G-AASJ",12/13(0)
14-Jan-36,"Tres Esquinas, Colombia
Military - Fuerza Aerea Colombiana","Junkers JU-52
624",13/16(0)
14-Jan-36,"Goodwin, Arkansas
American Airlines","Douglas DC-2-120
NC14274",17/17(0)
17-Jan-36,"Near Cordillera, Boliva
Lloyd Aereo Boliviano","Junkers JU-52
?",13/13(0)
21-Jan-36,"Off Ajaccio, Corsica, France
Air France","CAMS 53
F-AJIR",6/6(0)
29-Jan-36,"Denton, Texas
American Airlines","Vultee V-1
NC13767",1/6(0)
10-Feb-36,"Atlantic Ocean
Air France","Latecoere 301 (flying boat)
F-ANLE",6/6(0)
15-Feb-36,"South Atlantic Ocean
Deutsche Lufthansa","Dormier Do-J-Iif Bos Wal flying boat
D-ADYS",4/4(0)
5-Mar-36,"Near Tengya, China
China National Aviation Corporation","Ford 5-AT-D Tri-Motor
?",0/6(0)
14-Mar-36,"Ovalle, Chile
Lan Chile","Fairchild FC-2
19",5/5(0)
26-Mar-36,"Amemeca, Mexico
Mexicana","Ford 5-AT-B Tri Motor
XA-BCB",14/14(0)
1-Apr-36,"Pavillon, New York
American Airlines","Stinson Model A
NC15152",2/2(0)
7-Apr-36,"Uniontown, Pennsylvania
Trans Continental and Western Air","Douglas DC-2-112
NC13721",12/14(0)
11-Apr-36,"Port of Spain, Trinidad
Pan American Airways","Sikorsky S-42A Flying Boat
NC1537",3/25(0)
15-Apr-36,"Near Turin, Italy
Avio Linee Italiane","OFM F-VIIb/3m
I-AAXZ",7/7(0)
17-Apr-36,"Orvin, Switzerland
Deutsche Lufthansa","Junkers JU-52
D-ASOR",3/5(0)
21-Apr-36,"Senlis, France
Sabena","Fokker F-VII
OO-AIF",2/2(0)
30-Apr-36,"Basel, Switzerland
Swissair","General Aviation GA-43
HB-ITU",2/2(0)
16-May-36,"Mount Waverley, Australia
Holymans Airways","De Havilland DH-60 Moth
VH-UII",2/2(0)
9-Jun-36,"Malmo, Sweden
A B Aerotransport","Fokker F-XXII
SE-ABA",1/15(0)
13-Jun-36,"Hannover, Germany
Deutsche Lufthansa","Junkers JU-160
D-UPYM",1/6(0)
16-Jun-36,"Mt. Lihesten, Norway
Den Norske Luftfartskole","Junkers JU-52/3m
LN-DAE",7/7(0)
15-Jul-36,"Zagreb, Croatia
Aeroput","Spartan Cruiser
YU-SAP",7/7(0)
28-Jul-36,"Kulyab, Tajikistan
Aeroflot","Tupolev ANT-9
?",6/6(0)
31-Jul-36,"Off Channel Islands, Jersey
Guernsey Airways","Saro A-19 Cloud
G-ABXW",10/10(0)
2-Aug-36,"Mazamet, France
Air France","Wibault 280
F-ANBL F-ANBL",3/3(0)
3-Aug-36,"Ciudad Serdan,Mexico
Mexicana","Lockheed 9 Orion
XA-BAY",1/1(0)
5-Aug-36,"St. Louis, Missouri
Chicago Southern Airlines","Lockheed 10B Electra
NC16022",8/8(0)
6-Aug-36,"Choco, Colombia
SCADTA","Junkers F-13
C-40",2/3(0)
12-Aug-36,"Altenkirchen, Germany
British Airways","De Havilland DH-86
G-ADEB",2/2(0)
22-Aug-36,"Mirabella, Greece
Imperial Airways","Short S-17 Kent
G-ABFA",2/11(0)
5-Sep-36,"Near Pittsburgh, Pennsylvania
Pittsburgh Skyways Inc.","Stinson SM 6000B
NC117S",10/11(0)
24-Sep-36,"Benghazi, Libya
Ala Littoria SA","CRDA CANT Z-506
I-RODI",9/10(0)
25-Sep-36,"English Channel
Imperial Airways","Boulton and Paul P-71
G-ACOX",2/2(0)
28-Sep-36,"Walsenberg, Colorado
Varney Air Lines","Lockheed 5 Vega
NC176W",3/3(0)
29-Sep-36,"Napierville, Illinois
Blue Bird Air Service","Lockheed Vega 5C
NC959Y",4/4(0)
6-Oct-36,"Francisco Rueda, Tabasco, Mexico
Mexicana","Lockheed Orion
XA-BDH",1/1(0)
9-Oct-36,"Selby, North Yorkshire, United Kingdom
North Sea Aerial and General Transport","Blackburn B-2
G-ABWI",1/1(0)
1-Nov-36,"Near Tabarz, Germany
Deutsche Lufthansa","Junkers JU-52
D-APOO",11/15(0)
17-Nov-36,"Nurnberg, Germany
Deutsche Lufthansa","Junkers JU-52/3m
D-ASUI",4/16(0)
19-Nov-36,"London, England
British Airways","Fokker F-XII
G-AEOT",2/4(0)
4-Dec-36,"Near Grenoble, France
Deutsche Lufthansa","Junkers JU-52/3m
D-ASIH",6/6(0)
6-Dec-36,"Near Moscow, Russia
Deruluft","Antonov AN-9
CCCP-D311",9/14(0)
7-Dec-36,"Off Dakar, French West Africa
Air France","Latécoère 300 (float plane.
F-AKGF",5/5(0)
9-Dec-36,"Croydon, England
KLM Royal Dutch Airlines","Douglas DC-2-115E
PH-AKL",15/17(0)
15-Dec-36,"Near Salt Lake City, Utah
Western Air Express","Boeing 247D
NC13370",7/7(0)
18-Dec-36,"Kellogg, Idaho
Northwest Orient Airlines","Lockheed 10 Electra
NC14935",2/2(0)
19-Dec-36,"Near Milford, Pennsylvania
Eastern Air Lines","Douglas DC-2-112
NC13732",0/11(0)
23-Dec-36,"Near Dallas, Texas
Braniff Airways","Lockheed 10 Electra
NC14905",6/6(0)
26-Dec-36,"Nanking, China
China National Aviation Corporation","Douglas DC-2
NC14269",?/?(?)
27-Dec-36,"Newhall, California
United Air Lines","Boeing 247D
NC13355",12/12(0)
11-Jan-37,"Near Playa V icente, Veracruz, Mexico
Mexicana","Lockheed 10E Electra
X-ABEO",9/9(0)
12-Jan-37,"Near Newhall, California
Western Air Express","Boeing 247D
NC13315",5/13(0)
26-Jan-37,"Oran, Algeria
Sabena","Sabca S-73
OO-AGR",12/12(0)
9-Feb-37,"Off San Francisco, California
United Air Lines","Douglas DC-3A
NC16073",11/11(0)
19-Feb-37,"McPherson Ranges, Queensland, Australia
Airlines of Australia","Stinson Model A
VH-UHH",5/7(0)
12-Mar-37,"Bathurst, Gambia
Deutsche Lufthansa","Heinkel He-111V2
D-ALIX",4/4(0)
24-Mar-37,"Near Ouroux, France
Imperial Airways","Short S-23 (flying boat)
G-ADVA",5/6(0)
25-Mar-37,"Clifton, Pennsylvania
Trans Continental and Western Air","Douglas DC-2-112
NC13730",13/13(0)
26-Mar-37,"Wetnum, Germany
Deutsche Lufthansa","Junkers JU-52/3m
D-UPOZ",0/6(0)
6-May-37,"Lakehurst, New Jersey
Deutsche Zeppelin Reederei","Zeppelin LZ-129
D-LZ-129",35/97(1)
20-May-37,"Stuttgart, Germany
Deutsche Lufthansa","Heinkel He-70
D-UXUV",4/4(0)
2-Jun-37,"Desertores Island Región de Los Lagos
Fuerzs Aerea De Chile","Sirkorsky S-43 (flying boat)
2",9/9(0)
20-Jun-37,"?
ENTA","Travel Air 6000
TI-3",6/6(?)
2-Jul-37,"Off Lae, New Guinea
Private - Purdue Reasearch Foundation","Lockheed 10E Electra
NR16020",2/2(0)
28-Jul-37,"Hal, Belgium
KLM Royal Dutch Airlines","Douglas DC-2-115L
PH-ALF",15/15(0)
2-Aug-37,"Wadi Halfa, Sudan
Ala Littoria","Savoia-Marchetti SM73
I-SUSA",9/9(0)
2-Aug-37,"Off Cristobal, Panama
Pan American Grace Airways","Sikorsky S-43
NC15065",14/14(0)
6-Aug-37,"Bistrita, Romania
Aeroflot","Douglas DC-2
CCCP-M25",5/5(0)
8-Aug-37,"Chilang Point, Bias Bay, China
China National Aviation Corporation","Sikorsky S-43
NC16930",3/11(0)
10-Aug-37,"Daytona Beach, Florida
Eastern Air Lines","Douglas DC-2
NC-13739",4/9(0)
23-Aug-37,"San Luis, Argentina
Pan American Grace Airways","Douglas DC-2
NC14298",3/3(0)
27-Aug-37,"Wau, Papua New Guinea
Guinea Airways","Stinson SR-7 Reliant
VH-URC",1/1(1)
1-Oct-37,"Phaleron Bay, Greece
Imperial Airways","Short Empire flying boat
G-ADVC",2/14(0)
6-Oct-37,"Palembang, Netherlands Indies
KLM Royal Dutch Airlines","Douglas DC-3
PH-ALS",4/11(0)
17-Oct-37,"Haydens Peak, Wyoming
United Air Lines","Douglas DC-3
NC16074",19/19(0)
27-Oct-37,"Off Western Africa
Air France","Dewoitine D-333
F-ALQA",7/7(0)
11-Nov-37,"Warsaw, Poland
Lot Polish Airlines","Lockheed 10 Electra
SP-AYD",4/11(0)
12-Nov-37,"Mannheim, Germany
Deutsche Lufthansa","Heinkel He-111
D-AXAV",10/12(0)
12-Nov-37,"Warsaw, Poland
LOT","Lockhed 10 Electra
SP-AYD",4/11(?)
16-Nov-37,"Ostende, Belgium
Sabena","Junkers JU-52/3m
OO-AUB",11/11(0)
26-Nov-37,"Croydon, United Kingdom
Deutsche Lufthansa","Junkers JU-52
D-AGAV",3/3(0)
4-Dec-37,"Munich, Germany
Ala Littoria","Junkers JU-52
I-BAUS",4/17(0)
5-Dec-37,"Brindisi Harbor, Italy
Imperial Airways","Short Empire Flying Boat
G-ADUZ",2/19(0)
5-Dec-37,"Brindisi, Italy
Imperial Airways","Short S-23 (flying boat)
G-ADUZ",2/8(0)
8-Dec-37,"Saint Sauveur, France
Air France","Potez 621
F-AOTZ",2/7(0)
24-Dec-37,"Kasperske Hory, Czechoslovakia
Air France","Wibault 283-T12
F-AMYD",3/3(0)
4-Jan-38,"Frankfurt, Germany
Lufthansa","Junkers JU-38
D-ABUR",6/6(0)
10-Jan-38,"Bozeman, Montana
Northwest Orient Airlines","Lockheed 14H Super Electra
NC-17388",10/10(0)
11-Jan-38,"Pago Pago, U.S. Samoa
Pan American World Airways","Sikorsky S-42 (flying boat)
NC16734",7/7(0)
12-Jan-38,"North Pine, Ontario, Canada
General Airways","Stinson Reliant SR-9
CF-BEI",1/1(0)
2-Feb-38,"Off San Clemente Island, California
Military - U.S. Navy / Military - U.S. Navy","Consolidated PBY-2 / Consolidated PBY-2
04062 / 0463",11/14(0)
5-Feb-38,"Kandalaksha, Russia
TsAGI","V6 (airship)
CCCP-V6",13/19(0)
9-Feb-38,"Guadalupe, Mexico
Mexicana","Lockheed 10 Electra
XA-BAS",2/2(0)
9-Feb-38,"Marseille, France
Air France","Lioré-et-Olivier H-242
F-ANPB",8/12(0)
13-Feb-38,"Mediterranean Sea
Ala Littoria SA","Cant Z-506
I-ORIA",14/14(0)
22-Feb-38,"Pontoise, France
Deutsche Lufthansa","Junkers JU.52
D-APAR",3/3(0)
1-Mar-38,"Near Wawona, Cailifornia
Trans Continental and Western Air","Douglas DC-2-112
NC13789",9/9(0)
7-Mar-38,"Datia, India
Air France","Potez 621
F-ANQR",7/7(0)
8-Mar-38,"Somerton, Australia
Australian National Airways","De Havilland DH-60
VH-UNU",1/1(0)
23-Mar-38,"Corsavy, France
Air France","Dewoitine D-338
F-AQBB",8/8(0)
30-Apr-38,"Near Formia, Italy
Ala Littoria","Junkers JU-52
I-BAUS",19/19(0)
5-May-38,"Balbuena, Mexico
Lineas Aéreas Mineras","Lockheed Vega 5B
XA-BFR",1/6(0)
10-May-38,"Mangere, New Zealand
United Airways of New Zealand","Lockheed 10 Electra
ZK-AFC",2/2(0)
16-May-38,"Near Saugus, California
Northwest Orient Airlines","Lockheed 14-H2 Super Electra
NC17394",9/9(0)
22-May-38,"Sao Paulo, Brazil
Cruzeiro do Sul","Junkers JU-52/3m
PP-CBC",6/17(0)
24-May-38,"Cleveland, Ohio
United Air Lines","Douglas DST-A-207A
NC18108",10/10(0)
27-May-38,"Alberno Canal, BC, Canada
Ginger Coote Airways","Fairchild 51
CF-AUX",1/1(0)
27-May-38,"Langeoog, Germany
Deutsche Lufthansa","Heinkel 116
D-ATIO",3/3(0)
8-Jun-38,"Near Singida, Tanzania
Wilson Airways","De Havilland DH-85
VP-KBE",3/3(0)
19-Jun-38,"Mount Mercedario, Chile
Pan American Grace Airways","Douglas DC-2
NC14272",4/4(0)
8-Jul-38,"Billings, Montana
Northwest Orient Airlines","Lockheed 14 Super Electra
NC17383",1/10(0)
14-Jul-38,"Off Sardinia, Italy
Ala Littoria","Savoia Marchetti S-66
I-VOLO",20/20(0)
19-Jul-38,"Andes
Panagra","Douglas DC-2
NC14272",4/4(?)
22-Jul-38,"Stulpica, Romania
LOT Polish Airlines","Lockheed 14H Super Electra
SP-BNG",14/14(0)
27-Jul-38,"Kisumu, Kenya
Imperial Airways","Armstrong-Withworth Atlanta
G-ABTG",4/4(0)
29-Jul-38,"Pacific Ocean between Manila and Guam
Pan American World Airways","Martin M-130 (flying boat)
NC14714",15/15(0)
10-Aug-38,"Debrecen, Hungary
Magyar Legiforagalmi","Ford Tri-motor F-VIII
HA-FNC",12/12(0)
10-Aug-38,"Shishijima, Japan
Dai Nippon","Douglas DF-151
J-ANES",6/6(0)
12-Aug-38,"Near San Andres Tuxtla, VeraCruz, Mexico
Mexicana","Lockheed 10E Electra
X-ABAS",11/11(0)
13-Aug-38,"Kiel, Germany
CSA Czech Airlines","Savoia-Marchetti SM73
OK-BAG",16/17(0)
15-Aug-38,"Guanabara, Brazil
Syndicato Condor","Junkers JU-52/3m
PP-CAT",9/9(0)
18-Aug-38,"Bucharest, Romania
LOT Polish Airlines","Lockheed 14 Super Electra
SP-BNJ",0/7(0)
18-Aug-38,"Montnago, Italy
Macchi","Macchi C-94
I-NILO",15/15(0)
24-Aug-38,"Wangmoon, China
China National Aviation Corporation","Douglas DC-2
32",14/17(0)
24-Aug-38,"Tokyo, Japan
Japan Air / Japan Flying School","Unknown / Unknown
?",5/5(53)
29-Aug-38,"Near Tucumcari, New Mexico
Transcontinental &Western Air","Ford Tri-motor
NC17316",0/11(0)
